,0
0,free game
1,cs 1.7 pretty much
2,yes
3,Best game ever Biased review.
4,"my favourite all time, playing from last 15 years. Addicted yet."
5,The game is good however the game was released at a bad time. This game was released 8 months before Counter Strike Source. Also the game is similar but I like some of the new stuff
6,"Following its predecessor Counter Strike, and some differences such as:
1. Multiplayer bots with their difficulties variants.
2. That so-called ""Story"" missions.

I am truly amazed with this game and have played it since 2011 really recommended this game. Especially when it comes to different varieties of bots. Have fun with some matches with their expert bots."
7,"CS:CZDS is okay.

CS:CZ is the definition of unfairness. I tend to come back to it from time to time and rage quit after hard & expert missions are unlocked. Some of the challenges are ridiculous."
8,"best online series
"
9,"no
"
10,My personal favorite counter strike game.
11,why cant i just vote up or down? it is a good old game
12,Legendary game
13,better than csgo. just my opinion
14,nostalgia game kelas TIK SD
15,"Its counter strike 1.6, but with bots. Its pretty fun for road-trips when you want a classic counter strike experience without the fluff of modern engines."
16,"pretty fun
"
17,"Good game, very many missions, cool to complete them."
18,good
19,good game
20,can sex the bear
21,This is my favorite counter-strike game I would HIGHLY recommend this game as its a straight upgrade to normal counter-strike and easier to learn than CS-GO and the Tour of Duty gamemode is incredibly fun to play and practice playing in multiple scenarios valve did well on this great game!
22,"When Counter-Strike: Condition Zero was first announced three years ago, it seemed like a decent enough idea. The definitive first-person shooter mod was at the height of its popularity, so having a single-player game based on the winning formula sounded like a good way to win a new following and perhaps entice even more people to venture online. However, those who have been reading up on the game over the years know that development has been a bumpy ride. The duty of making Condition Zero has practically been passed around more than the collection basket at Easter Mass. What started internally at Valve Software quickly moved to Gearbox, then to Ritual Entertainment, and finally over to Turtle Rock Studios. Given such an unusual development path, Condition Zero is surprisingly enjoyable, thanks mostly to some remarkable artificial intelligence. Unfortunately, the game will be remembered as a victim of its own delays.

By now, most FPS fans at least know what Counter-Strike is and have likely played it or have seen it. For those of you who have recently been paroled from a lengthy incarceration or have awakened from a coma, Counter-Strike is a team-based tactical shooter that pits terrorists versus counterterrorists in round-based match play. In the game's current incarnation, there are two game types--bombing and hostage rescue. Bombing maps require the terrorist team to plant and detonate a time bomb in one of two bombing areas while the counterterrorists guard these sites. Hostage rescue involves having the terrorists guard computer-controlled civilians while the counterterrorists try to rescue them. In practice, both game types often result in one team or the other being eliminated in bloody, fast shoot-outs.

Players earn money based on their performances in the previous rounds, and with this money, they can buy weapons at the beginning of each subsequent round (and those who survive the last round keep their guns). The game's arsenal is based on real-life weapons, including Desert Eagle pistols, pump-action shotguns, AK-47 assault rifles, and even some exotic equipment, like tactical shields that deflect bullets.

Single-player Condition Zero is just like the multiplayer version of Counter-Strike that's been played for years, only your teammates and the enemies are replaced by computer-controlled bots. You assume the role of the commander of a counterterrorist force, and you choose your teammates from a menu of named bots. The bots vary in skill, aggressiveness, choice of weapon, and tendency to cooperate with the rest of the team. Those with greater skill and more-powerful weapons cost more points to hire, but you'll earn points steadily as you make your way through the game's campaign.

The campaign is divided into six ""tours of duty,"" each of which consists of three maps, thus offering you a total of 18 maps for gameplay. Most of the maps are drawn from Counter-Strike's classic collection, so veterans will be familiar with classics such as Dust, Aztec, and Italy. Some of the maps have been tweaked greatly, however. For example, Militia is now vastly different from the map longtime CS players are familiar with. The above-land approach from the counterterrorist spawn area to the house has been shortened and adorned with additional rocks to hide behind, thus making life more difficult for terrorist snipers. A handful of new maps have also been included, like Stadium, a multilevel demolitions map that features a lot of narrow hallways and stairwells. Fastline should also be new to PC players, since it was borrowed from the Xbox version of Counter-Strike. It's a very small bombing map, set in a Tokyo subway, that encourages quick rounds and a frenetic pace.

Beating each map requires you to win at least three rounds against the terrorists, and you must be ahead of the terrorists by at least two successive wins while also completing a number of special challenges. These challenges usually involve getting a certain total number of kills, getting kills with a specific weapon, rescuing hostages, and/or winning a round under a certain amount of time. You don't have to complete all these challenges within the three rounds, so if you're beating the terrorists 3-1 and still have a challenge left unfulfilled, the match will continue until you've satisfied all the requirements.

The challenges vary with the difficulty level, as does the rate at which the terrorist team ramps up in skill and number. At the easiest difficulty level, you'll have few prerequisites, and the ones that are there are simple to accomplish. At the expert difficulty level, however, you'll be asked to perform some particularly tough feats, such as getting a knife kill and surviving the same round. For veterans of CS, the normal difficulty level won't be much of a challenge, but the two higher difficulty levels offer some pretty decent challenges, thanks to the surprisingly good bot AI.

The bot AI in most first-person shooters is laughably bad. Counter-Strike provides even more challenges for programmers who are attempting to design capable bots because of the relatively complex tasks these bots must perform. At any rate, we were pleasantly surprised by how clever the bots on both sides were in Condition Zero. Teammates communicate with you constantly by voice by telling you where they are, what they're doing, and if they've spotted an enemy. If the bomb carrier falls, bot CTs know to camp the dropped bomb, and the remaining terrorists are aware that they need to pick up the bomb to complete the mission. Terrorists on hostage rescue maps know that once a certain amount of time has elapsed, patrolling or camping hostage rescue points is an important strategy. They'll also plant bombs behind boxes and other defensible positions. All the bots seem to be programmed to know each map intimately and will crouch on top of good spots or will lie in wait behind strategic corners, just like an experienced human player would. Even more remarkable is that you'll see bots breaking windows and jumping down from high ledges to purposely reach other areas more quickly--even at the expense of incurring a bit of falling damage.

The bots aren't infallible, though. Occasionally you'll spot one getting hung up temporarily on some geometry. We've also seen the terrorist bots abandon planted bombs, thus allowing CTs to sneak in and defuse them without a fight. To be fair, we've also seen many human players make the same boneheaded mistakes over the years. Overall, the bots are remarkably human--and varied--in their behaviors. Some teammates will respond to your commands, while others insist on forging their own paths, which isn't terribly different from human teammates either. It's too bad there's no way to play as the terrorist side on these maps, but assuming you're willing to retry the game on higher difficulty settings after beating it on normal, there's decent value here.

Adding to the game's aesthetic significance is the fact that a special ""deleted scenes"" mode has been included. These deleted scenes actually comprised the single-player campaign that Ritual was working on before game development was handed off to Turtle Rock. While the 12 missions here are pretty fleshed-out--with scripted sequences and dense amounts of action--the deleted scenes, as a whole, feel like clichés. To anyone who's played shooters for years, the deleted scenes seem like flashbacks to the shooters of 1999 and 2000, so you'll immediately know why Ritual's project was canceled. While it's nice to have this extra content, your decision on whether to buy Condition Zero shouldn't hinge on it.
"
23,so fun
24,*!)(*%#@+$(_#!*!+#%+#$(+!%)#_!#$%_+#<F
25,i love u
26,.
27,"Pros and Cons (from a huge fan of Phasmophobia):

Pros:
It is great and has fantastic ideas.
Really nice ghost models.
HUGE potential.

Cons:
It becomes repetitive after you get the hang of insane difficulty"
28,"The game that started all , Remember those days having poteto pc and buying a gaming mouse , Lan parties.
 After Global offensive -sometime i play this game and that bring back a memories of my student days. :) game is having a sentimental value."
29,"amazing,just sad how nobody wants to play this"
30,"This game is like butter, you may not want to eat butter by itself for personal nourishment (unless you are a masochist) but pair it with some toast, etc. Then you have a game you can supplement with your free time (if CSGO makes you tilted I guess). TLDR, the game kills your free time just for the sake of killing time."
31,"Imagine if Valve created a new counter strike game similar to these older titles, just updated graphics and controls.
This is like a nice intro to teh series. You can play campaign, which is just standard online fights with dumb AI. Learn the basics and then go get your ass kicked in online mode in the other games. The online mode in this title has some players still playing, but not nearly as popular as other titles."
32,this game it killed my wife and son who is a csgo pro and play 1000000000000000000000000000000000000000000000000000000 hours of csgo a day
33,go kurac
34,Counter-Strike: Story Mode
35,Nice single player missions
36,the conditions are indeed zero
37,I have Counter Strike condition Zero for the campaign which has a lot of variety and the missions are different which is good and my crit points are if you get caught in checkpoint used and why don't you show the consequences of getting caught in a mission and then try not to repeat it and it reminds me of call of duty black ops 2 . Campaign 7/10
38,I used to play this at college back in 2001. fun game and glad it is still around.
39,I love this game lmao
40,Best CS hands down
41,Cool game. :steamthumbsup:
42,Best Game Ever w/o Hackers.
43,A lovely classic game .
44,BANANA
45,sss
46,gud game
47,counter strike condition zero really cool game innstall it and just wan more thing to say why are you not playng the game yet
48,Employable. Also very messy in the story mode of the Deleted Scenes.
49,I love it
50,"*** THIS REVIEW IS FOR COUNTER-STRIKE CONDITION ZERO DELETED SCENES ***

The only single player campaign in Counter-Strike history. It's a shame, really! It's pretty good, and I'm sure Valve could've turned Counter-Strike into their own version of CoD/Battlefield with awesome multiplayer but even equally good campaigns (the only thing I play when it comes to games like this). 

It's not a story campaign persay, it's an anthology of fully voiced missions where you play as different counter-terrorist from around the world. It's kind of like a rail-shooter mixed with Half-Life puzzle elements. It starts as a mindless shooter but then you need to start walking around in vents and parkouring up gates to get to the next place you need to get. BASICALLY, It's Half-Life, but the aliens are replaced with terrorists. 

It's good. It's okay. It's fun. BUT it can be buggy and a little glitchy. You can get stuck. But remember that Valve cut out these missions and never bothered updating them. There IS 6 bonus missions you can play once you finish the ""main"" campaign missions. Make sure not to miss out on those. You can tell Ritual had a lot of fun making it. Plenty of nice developer easter eggs scattered through-out. 

Highly recommend if anyone wants a Half-Life era CoD-like game, this is for you."
51,"Counterstrike Condition Zero is the perfect CS game. Bots are smarter then you think, and provide endless hours of gameplay. pick this up if you want to play actual story based missions and bonus content cut from the ported xbox release. great game, highly reccomend it to fans of counterstrike 1.5 and so on. 10/10"
52,It was absolutely hated when it came out. Now it's just classed as one of the average/slightly better than average retro games.
53,"Very good game 👍 
but it's a pity I didn't catch it 🕰️ 😢"
54,The Coolerest Counter-Strike
